# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
004A6510 [crt-out-of-scope] __NMSG_WRITE
004A6730 [crt-out-of-scope] __control87
004A6780 [crt-out-of-scope] __controlfp
004A67B0 [crt-out-of-scope] __abstract_cw
004A6900 [crt-out-of-scope] __hw_cw
004A6AD0 [crt-out-of-scope] __fptrap
004A6AF0 [crt-out-of-scope] _tolower
004A6C30 [crt-out-of-scope] __ZeroTail
004A6CD0 [crt-out-of-scope] __IncMan
004A6D90 [crt-out-of-scope] __RoundMan
004A6E70 [crt-out-of-scope] __CopyMan
004A6EC0 [crt-out-of-scope] __FillZeroMan
004A6F00 [crt-out-of-scope] __IsZeroMan
004A6F50 [crt-out-of-scope] __ShrMan
004A7040 [crt-out-of-scope] __ld12cvt
004A72B0 [crt-out-of-scope] FID_conflict:__ld12tod
004A72E0 [crt-out-of-scope] FID_conflict:__ld12tod
004A7310 [crt-out-of-scope] FID_conflict:__atodbl
004A7350 [crt-out-of-scope] FID_conflict:__atodbl
004A7390 [crt-out-of-scope] __fptostr
004A7470 [crt-out-of-scope] __fltout
004A74E0 [crt-out-of-scope] ___dtold
004A76C0 [crt-out-of-scope] FID_conflict:_memcpy
004A7810 [crt-out-of-scope] _strlen
004A7890 [crt-out-of-scope] $E2
004A78B0 [crt-out-of-scope] $E1
004A78E0 [crt-out-of-scope] __CxxUnhandledExceptionFilter
004A7980 [crt-out-of-scope] FUN_004a7980
004A79A0 [crt-out-of-scope] _ValidateRead
004A79E0 [crt-out-of-scope] _ValidateWrite
004A7A20 [crt-out-of-scope] _ValidateExecute
004A7A60 [crt-out-of-scope] _strcmp
004A7AF0 [crt-out-of-scope] _abort
004A7B20 [crt-out-of-scope] __callnewh
004A7B60 [crt-out-of-scope] __malloc_base
004A7B90 [crt-out-of-scope] __nh_malloc_base
004A7C30 [crt-out-of-scope] __heap_alloc_base
004A7CA0 [crt-out-of-scope] FUN_004a7ca0
004A7CC0 [crt-out-of-scope] __expand_base
004A7D90 [crt-out-of-scope] __realloc_base
004A7FA0 [crt-out-of-scope] __free_base
004A8010 [crt-out-of-scope] __heapchk
004A8090 [crt-out-of-scope] ___sbh_new_region
004A82A0 [crt-out-of-scope] ___sbh_release_region
004A8330 [crt-out-of-scope] ___sbh_decommit_pages
004A84B0 [crt-out-of-scope] ___sbh_find_block
004A8560 [crt-out-of-scope] ___sbh_free_block
004A85F0 [crt-out-of-scope] ___sbh_alloc_block
004A8AC0 [crt-out-of-scope] ___sbh_alloc_block_from_page
004A8DC0 [crt-out-of-scope] ___sbh_resize_block
004A8F80 [crt-out-of-scope] ___sbh_heap_check
004A91F0 [crt-out-of-scope] __itoa
